document,topic
acq68,0
acq68,7
acq68,13
acq68,29
acq68,38
earn69,28
earn69,34
crude70,2
crude70,3
crude70,27
crude70,30
crude70,37
crude70,46
acq71,9
acq71,10
acq71,38
earn72,3
earn72,9
earn72,45
earn73,7
earn73,35
earn73,39
earn73,46
money-supply74,2
money-supply74,4
money-supply74,13
money-supply74,34
money-supply74,48
money-supply74,49
money-supply75,4
money-supply75,31
money-supply75,48
money-supply75,49
money-supply75,50
acq76,21
acq76,23
acq76,36
acq76,38
acq76,41
acq76,43
acq77,6
acq77,11
acq77,15
acq77,29
grain78,11
grain78,12
grain78,14
grain78,22
grain78,29
grain78,37
grain78,41
grain78,48
grain78,49
earn79,4
earn79,28
earn79,34
earn80,5
earn80,17
earn81,16
earn81,21
earn81,23
earn81,31
earn81,34
earn81,37
earn82,1
earn82,34
earn83,5
earn83,14
earn83,46
crude84,0
crude84,2
crude84,7
crude84,22
crude84,24
crude84,25
crude84,26
crude84,37
crude84,41
earn85,3
earn85,23
earn85,26
earn85,34
earn85,35
earn85,37
earn85,41
earn85,48
earn86,3
earn86,5
earn86,9
earn86,10
earn86,17
earn86,30
earn86,31
earn87,5
earn87,7
earn87,9
earn87,11
earn87,15
earn87,35
earn87,38
earn88,34
earn89,0
earn89,5
earn89,16
acq90,1
acq90,15
acq90,29
acq90,33
acq90,45
acq90,49
acq91,6
acq91,15
acq91,23
acq91,24
acq91,28
acq91,29
acq91,38
earn92,3
earn92,21
earn92,34
earn92,48
acq93,10
acq93,13
acq93,37
acq93,38
earn94,5
earn94,34
earn95,31
earn95,34
earn96,5
earn96,10
earn96,21
earn96,27
earn97,5
earn97,12
earn97,43
earn98,19
earn98,31
earn98,32
earn98,34
earn99,19
earn99,31
earn99,32
earn99,35
earn99,38
earn100,34
nat-gas101,0
nat-gas101,2
nat-gas101,14
nat-gas101,17
nat-gas101,19
nat-gas101,22
nat-gas101,23
nat-gas101,24
nat-gas101,27
nat-gas101,29
nat-gas101,37
nat-gas101,38
nat-gas101,39
nat-gas101,45
earn102,3
earn102,34
acq103,0
acq103,38
acq103,44
acq104,14
acq104,29
acq104,38
acq104,46
earn105,31
earn105,34
crude106,5
crude106,23
crude106,37
crude107,0
crude107,5
crude107,11
crude107,20
crude107,23
crude107,27
crude107,30
crude107,37
crude107,39
crude108,5
crude108,7
crude108,20
crude108,27
crude108,30
crude108,37
earn109,23
earn109,34
earn109,35
earn109,48
money-supply110,7
money-supply110,28
money-supply110,50
acq111,9
acq111,29
acq111,35
acq111,43
earn112,17
earn112,34
earn113,9
earn113,21
earn113,31
earn113,34
money-supply114,2
money-supply114,6
money-supply114,8
money-supply114,10
money-supply114,13
money-supply114,24
money-supply114,26
money-supply114,31
money-supply114,39
money-supply114,48
money-supply114,50
earn115,31
earn115,34
crude116,10
crude116,12
crude116,22
crude116,25
crude116,35
crude116,37
crude116,38
earn117,18
earn117,34
earn117,44
earn117,50
cpi118,0
cpi118,7
cpi118,14
cpi118,24
cpi118,26
cpi118,30
cpi118,35
cpi118,37
cpi118,42
cpi118,45
cpi118,47
earn119,5
earn119,9
earn119,11
earn119,15
earn119,29
earn119,44
earn119,50
money-supply120,4
money-supply120,6
money-supply120,7
money-supply120,23
money-supply120,34
money-supply120,50
money-supply121,2
money-supply121,7
money-supply121,13
money-supply121,22
money-supply121,43
money-supply121,50
interest122,2
interest122,7
interest122,10
interest122,16
interest122,19
interest122,30
interest122,45
interest122,50
coffee123,6
coffee123,7
coffee123,9
coffee123,15
coffee123,18
coffee123,24
coffee123,26
coffee123,42
interest124,2
interest124,4
interest124,7
interest124,8
interest124,9
interest124,11
interest124,30
interest124,36
interest124,49
crude125,0
crude125,2
crude125,9
crude125,18
crude125,24
crude125,26
crude125,35
crude125,37
crude126,2
crude126,14
crude126,17
crude126,22
crude126,24
crude126,26
crude126,37
crude126,45
crude127,22
crude127,24
crude127,32
crude127,36
crude127,37
crude127,50
crude128,14
crude128,22
crude128,24
crude128,36
crude128,37
crude128,47
crude128,48
money-fx129,2
money-fx129,9
money-fx129,14
money-fx129,15
money-fx129,22
money-fx129,24
money-fx129,25
money-fx129,29
money-fx129,36
money-fx129,37
money-fx129,43
money-fx129,48
money-fx129,50
money-fx129,51
crude130,2
crude130,24
crude130,25
crude130,26
crude130,31
crude130,37
crude130,45
crude130,51
coffee131,12
coffee131,18
coffee131,24
coffee131,39
money-fx132,2
money-fx132,21
money-fx132,24
money-fx132,48
sugar133,2
sugar133,14
sugar133,17
sugar133,20
sugar133,22
sugar133,26
acq134,6
acq134,7
acq134,10
acq134,22
acq134,29
acq134,32
acq134,35
acq134,40
acq134,45
acq134,48
trade135,7
trade135,31
trade135,36
trade135,45
trade135,48
alum136,2
alum136,19
alum136,21
alum136,23
alum136,25
alum136,26
alum136,44
alum136,45
alum136,47
crude137,0
crude137,4
crude137,7
crude137,17
crude137,26
crude137,36
crude137,37
crude137,38
earn138,2
earn138,22
earn138,23
earn138,24
earn138,27
earn138,35
earn138,45
earn138,48
ship139,6
ship139,19
ship139,24
ship139,25
ship139,45
ship139,46
ship139,50
ship139,51
reserves140,22
reserves140,45
reserves140,48
reserves141,5
reserves141,7
reserves141,20
reserves141,24
reserves141,26
reserves141,45
reserves141,48
reserves141,50
coffee142,6
coffee142,12
coffee142,18
coffee142,24
coffee142,39
sugar143,7
sugar143,19
sugar143,20
sugar143,24
sugar143,26
sugar143,31
acq144,11
acq144,15
acq144,23
earn145,9
earn145,33
earn145,34
earn145,48
acq146,0
acq146,9
acq146,15
acq146,24
acq146,28
acq146,29
acq146,42
acq146,46
acq147,11
acq147,15
acq147,23
acq147,28
acq147,38
acq147,40
acq147,50
acq147,51
tin148,0
tin148,10
tin148,14
tin148,18
tin148,19
tin148,22
tin148,24
tin148,25
tin148,26
tin148,32
tin148,45
gold149,7
gold149,20
gold149,25
gold149,26
gold149,45
acq150,6
acq150,9
acq150,15
acq150,16
acq150,28
acq150,29
acq150,34
acq150,38
acq150,49
earn151,2
earn151,17
earn151,22
earn151,29
earn151,35
earn151,45
earn151,46
interest152,2
interest152,11
interest152,24
interest152,25
interest152,30
interest152,45
interest152,49
interest152,50
reserves153,2
reserves153,29
reserves153,35
reserves153,45
reserves153,46
reserves153,48
reserves153,50
money-supply154,7
money-supply154,50
acq155,8
acq155,11
acq155,24
acq155,29
acq155,35
acq155,38
acq155,42
acq155,45
acq155,49
acq155,50
acq155,51
acq156,22
acq156,33
acq156,35
acq156,38
acq156,45
acq156,51
trade157,8
trade157,13
trade157,24
trade157,32
trade157,39
trade157,42
trade157,45
trade157,51
trade158,2
trade158,22
trade158,24
trade158,33
trade158,39
trade158,45
trade158,47
sugar159,5
sugar159,15
sugar159,20
sugar159,24
sugar159,27
earn160,1
earn160,22
earn160,24
earn160,31
earn160,50
earn160,51
strategic-metal161,4
strategic-metal161,19
strategic-metal161,22
strategic-metal161,24
strategic-metal161,29
strategic-metal161,32
strategic-metal161,35
strategic-metal161,44
crude162,24
crude162,36
crude162,37
crude162,39
crude163,2
crude163,7
crude163,24
crude163,25
crude163,26
crude163,31
crude163,37
crude163,51
crude164,24
crude164,26
crude164,37
trade165,0
trade165,2
trade165,13
trade165,22
trade165,24
trade165,39
trade165,44
trade165,45
trade165,48
earn166,3
earn166,9
earn166,10
earn166,14
earn166,16
earn166,22
earn166,23
earn166,24
earn166,28
earn166,29
earn166,33
earn166,35
earn166,38
earn166,42
earn166,45
earn166,48
acq167,2
acq167,9
acq167,14
acq167,15
acq167,22
acq167,29
acq167,35
acq167,43
acq167,46
acq167,47
acq167,50
acq168,0
acq168,15
acq168,22
acq168,24
acq168,29
acq168,35
acq168,38
acq168,39
acq168,48
acq169,9
acq169,11
acq169,15
acq169,24
acq169,38
acq169,50
acq169,51
acq170,1
acq170,10
acq170,14
acq170,15
acq170,17
acq170,31
acq170,38
acq170,45
acq170,47
acq170,51
acq171,7
acq171,10
acq171,24
acq171,29
acq171,38
acq171,47
acq171,51
acq172,0
acq172,1
acq172,2
acq172,4
acq172,9
acq172,15
acq172,23
acq172,24
acq172,29
acq172,35
acq172,36
acq172,38
acq172,45
cotton173,20
cotton173,26
cotton173,35
acq174,0
acq174,10
acq174,19
acq174,30
acq174,38
acq174,50
alum175,16
alum175,19
alum175,24
alum175,49
alum175,51
earn176,5
earn176,10
earn176,28
earn176,34
earn176,48
acq177,3
acq177,4
acq177,10
acq177,20
acq177,22
acq177,27
acq177,38
acq177,43
earn178,5
earn178,9
earn178,11
earn178,14
earn178,28
earn178,35
earn178,42
acq179,4
acq179,15
acq179,30
acq180,15
acq180,16
acq180,19
acq180,21
acq180,29
acq180,36
earn181,10
earn181,34
acq182,4
acq182,8
acq182,9
acq182,16
acq182,21
acq182,23
acq182,28
acq182,36
acq182,38
acq182,42
acq182,51
earn183,2
earn183,3
earn183,9
earn183,14
earn183,17
earn183,23
earn183,24
earn183,27
earn183,28
earn183,29
earn183,31
earn183,33
earn183,35
earn183,42
earn183,48
earn184,5
acq185,0
acq185,2
acq185,4
acq185,7
acq185,9
acq185,10
acq185,15
acq185,30
acq185,39
earn186,5
earn186,9
earn186,29
earn186,47
acq187,3
acq187,9
acq187,43
earn188,2
earn188,34
acq189,0
acq189,15
acq189,38
acq189,44
acq190,1
acq190,14
acq190,15
acq190,30
acq190,43
coffee191,15
coffee191,18
coffee191,24
coffee191,26
coffee191,39
earn192,5
earn192,9
earn192,15
earn193,5
earn193,9
earn193,21
earn194,5
earn194,9
earn194,14
earn194,47
earn195,5
earn195,9
earn195,14
acq196,9
acq196,11
acq196,15
acq196,17
acq196,22
acq196,24
acq196,27
acq196,29
acq196,31
acq196,35
acq196,38
acq196,43
earn197,10
earn197,35
earn197,46
earn198,9
earn198,28
earn198,34
earn198,46
reserves199,5
reserves199,14
reserves199,16
reserves199,37
reserves199,48
reserves199,50
acq200,4
acq200,6
acq200,25
acq200,28
acq200,29
acq200,49
earn201,5
earn201,9
earn201,17
earn201,34
earn201,35
earn202,17
earn202,34
earn202,41
earn202,42
earn202,44
earn202,48
earn203,5
earn203,9
earn203,42
acq204,0
acq204,9
acq204,15
acq204,18
acq204,38
acq204,43
acq204,44
acq204,49
earn205,0
earn205,7
earn205,9
earn205,16
earn205,18
earn205,32
earn205,35
earn205,38
earn205,47
earn205,50
acq206,11
acq206,15
acq206,24
acq206,29
acq206,40
acq206,45
acq206,50
earn207,5
earn207,22
earn207,31
earn207,34
earn207,48
earn207,50
earn208,5
earn208,22
earn208,31
earn208,34
earn208,48
earn208,50
acq209,10
acq209,15
acq210,28
acq210,29
acq210,35
acq210,38
acq210,39
acq210,40
acq210,42
acq210,49
acq210,50
acq211,2
acq211,7
acq211,9
acq211,10
acq211,15
acq211,23
acq211,49
retail212,6
retail212,7
retail212,30
retail212,31
retail212,39
acq213,4
acq213,9
acq213,11
acq213,17
acq213,30
acq213,38
earn214,17
earn214,29
earn214,31
earn214,34
earn214,41
ipi215,5
ipi215,7
ipi215,10
ipi215,23
ipi215,30
ipi215,36
ipi215,37
ipi215,46
ipi215,47
ipi215,49
earn216,34
earn217,18
earn217,34
crude218,23
crude218,30
crude218,37
earn219,5
earn220,4
earn220,5
earn220,9
earn220,22
earn220,29
earn220,31
earn220,44
earn221,34
acq222,0
acq222,11
acq222,17
acq222,25
acq222,36
acq222,38
acq222,46
acq222,47
earn223,5
earn223,7
earn223,9
earn223,10
earn223,33
earn223,35
earn223,47
acq224,15
acq224,38
acq224,41
acq224,42
acq224,43
acq224,45
acq224,49
acq225,4
acq225,10
acq225,15
acq225,17
acq225,20
acq225,24
acq225,25
acq225,27
acq225,36
acq225,38
acq225,47
earn226,5
earn226,9
earn226,29
earn226,46
earn227,34
earn227,42
earn228,3
earn228,34
earn228,48
crude229,3
crude229,22
crude229,24
crude229,29
crude229,37
crude229,39
crude229,45
earn230,10
earn230,34
earn230,42
earn230,46
earn230,49
earn231,3
earn231,9
earn231,21
earn231,31
earn231,34
acq232,4
acq232,9
acq232,10
acq232,11
acq232,12
acq232,15
acq232,29
acq232,38
acq232,39
acq232,42
acq232,50
acq232,51
acq233,12
acq233,21
acq233,48
acq233,51
acq234,3
acq234,7
acq234,13
acq234,17
acq234,21
acq234,30
acq234,38
acq234,47
crude235,3
crude235,6
crude235,13
crude235,22
crude235,24
crude235,29
crude235,37
crude235,39
crude235,45
acq236,0
acq236,1
acq236,2
acq236,3
acq236,4
acq236,17
acq236,24
acq236,29
acq236,38
acq236,43
acq236,46
acq237,0
acq237,1
acq237,8
acq237,13
acq237,28
acq237,34
acq237,38
acq237,44
acq237,51
earn238,5
earn238,25
earn238,29
earn238,31
earn238,44
earn238,47
earn239,4
earn239,5
earn239,31
earn239,47
earn240,4
earn240,5
earn240,31
earn240,43
crude241,23
crude241,30
crude241,37
earn242,4
earn242,5
earn242,31
earn243,4
earn243,5
earn243,31
earn243,40
earn244,5
earn244,29
earn244,31
earn244,45
earn245,5
earn245,19
ship246,6
ship246,11
ship246,12
ship246,13
ship246,15
ship246,16
ship246,22
ship246,39
ship246,51
earn247,5
earn247,42
earn248,22
earn248,27
earn248,35
earn248,45
earn248,48
iron-steel249,7
iron-steel249,15
iron-steel249,18
iron-steel249,19
iron-steel249,22
iron-steel249,24
iron-steel249,26
iron-steel249,29
iron-steel249,32
earn250,17
earn250,34
earn251,4
earn251,5
earn251,17
earn251,31
earn252,9
earn252,14
earn252,31
earn252,34
earn252,35
earn252,41
earn252,48
earn253,5
earn253,7
earn253,31
earn253,46
acq254,9
acq254,11
acq254,18
acq254,24
acq254,31
acq254,38
acq254,40
acq254,47
earn255,34
earn256,34
earn256,48
earn257,9
earn257,34
earn257,51
earn258,5
earn258,17
earn259,34
earn260,22
earn260,31
earn260,34
earn261,21
earn261,25
earn261,28
earn261,31
earn261,34
earn261,35
earn261,48
crude262,6
crude262,11
crude262,13
crude262,20
crude262,30
crude262,37
crude262,38
crude262,45
nat-gas263,2
nat-gas263,10
nat-gas263,11
nat-gas263,13
nat-gas263,23
nat-gas263,27
nat-gas263,29
nat-gas263,30
nat-gas263,37
acq264,0
acq264,15
acq264,16
acq264,29
acq264,39
acq264,47
acq264,51
earn265,5
earn265,43
earn265,50
acq266,2
acq266,7
acq266,10
acq266,15
acq266,23
acq266,36
acq266,38
earn267,5
earn267,29
earn267,33
acq268,0
acq268,1
acq268,8
acq268,13
acq268,28
acq268,34
acq268,38
acq268,42
acq268,44
acq268,51
acq269,0
acq269,1
acq269,3
acq269,9
acq269,11
acq269,23
acq269,29
acq269,35
acq269,38
acq269,45
earn270,22
earn270,35
earn270,51
acq271,13
acq271,14
acq271,21
acq271,23
acq271,33
acq271,38
acq271,39
acq271,42
earn272,5
earn272,34
earn273,5
earn273,9
earn273,15
earn273,30
earn273,42
earn274,1
earn274,31
earn274,34
acq275,13
acq275,15
acq275,28
acq275,38
acq276,0
acq276,7
acq276,10
acq276,15
acq276,24
acq276,33
acq276,46
earn277,17
earn277,34
coffee278,15
coffee278,18
coffee278,20
coffee278,24
ship279,6
ship279,10
ship279,14
ship279,15
ship279,19
ship279,21
ship279,22
ship279,23
ship279,24
ship279,27
ship279,29
ship279,38
ship279,40
ship279,43
ship279,45
acq280,10
acq280,38
acq280,42
acq280,47
acq280,51
earn281,11
earn281,34
earn281,39
earn281,46
earn281,51
acq282,0
acq282,13
acq282,15
acq282,38
sugar283,4
sugar283,9
sugar283,15
sugar283,18
sugar283,20
sugar283,24
sugar283,26
sugar283,27
sugar283,38
sugar283,49
rubber284,0
rubber284,1
rubber284,6
rubber284,11
rubber284,15
rubber284,17
rubber284,25
rubber284,26
rubber284,29
rubber284,35
rubber284,41
rubber284,43
rubber284,44
rubber284,46
rubber284,47
rubber284,49
earn285,12
earn285,31
earn285,34
earn285,38
earn285,40
earn286,2
earn286,9
earn286,10
earn286,33
earn286,35
earn286,44
earn286,46
tin287,10
tin287,22
tin287,24
tin287,26
tin287,45
tin287,51
earn288,0
earn288,15
earn289,4
earn289,5
earn289,31
earn290,4
earn290,5
earn290,19
earn290,31
earn291,1
earn291,4
earn291,5
earn291,31
earn292,4
earn292,5
earn292,31
earn292,44
earn293,4
earn293,5
earn293,31
earn293,47
earn294,0
earn294,1
earn294,11
earn294,14
earn294,17
earn294,22
earn294,31
earn294,35
earn294,42
earn294,46
gold295,0
gold295,2
gold295,22
gold295,24
gold295,25
gold295,36
gold295,37
earn296,28
earn296,34
earn297,34
earn297,51
earn298,4
earn298,5
earn298,31
earn298,35
earn299,1
earn299,4
earn299,5
earn299,31
earn300,2
earn300,4
earn300,5
earn300,31
acq301,0
acq301,3
acq301,9
acq301,11
acq301,20
acq301,21
acq301,38
acq301,49
crude302,3
crude302,22
crude302,24
crude302,27
crude302,37
crude302,45
crude302,51
acq303,0
acq303,1
acq303,7
acq303,15
acq303,29
acq303,34
acq303,35
acq303,44
acq303,45
earn304,5
earn304,26
earn304,44
earn304,50
acq305,0
acq305,15
acq305,43
acq305,44
acq306,0
acq306,5
acq306,11
acq306,29
acq306,36
acq306,38
acq306,49
acq307,0
acq307,1
acq307,2
acq307,9
acq307,10
acq307,11
acq307,15
acq307,24
acq307,29
acq307,35
acq307,39
acq307,47
acq307,48
earn308,9
earn308,31
earn308,34
trade309,14
trade309,16
trade309,23
trade309,24
trade309,27
trade309,29
trade309,37
trade309,39
trade309,40
trade309,45
trade309,51
earn310,5
earn310,25
acq311,6
acq311,13
acq311,15
acq311,38
acq311,43
acq311,44
acq311,50
acq311,51
acq312,3
acq312,10
acq312,11
acq312,13
acq312,38
acq312,43
acq312,47
acq312,50
earn313,13
earn313,30
earn313,31
earn313,34
earn313,38
earn313,45
earn314,33
earn314,34
earn314,42
acq315,9
acq315,15
acq315,36
acq316,0
acq316,4
acq316,7
acq316,15
acq316,41
acq316,43
acq316,44
acq316,51
earn317,34
acq318,11
acq318,14
acq318,18
acq318,25
acq318,26
acq318,38
acq318,42
acq318,46
acq318,47
acq319,0
acq319,14
acq319,29
acq319,43
acq319,51
earn320,1
earn320,23
earn320,25
earn320,28
earn320,29
earn320,34
earn320,37
earn320,49
acq321,0
acq321,38
acq321,41
acq321,51
earn322,9
earn322,10
earn322,11
earn322,35
acq323,3
acq323,13
acq323,21
acq323,38
acq323,49
acq324,0
acq324,7
acq324,9
acq324,10
acq324,15
acq324,24
acq324,29
acq324,35
acq324,38
acq324,47
coffee325,9
coffee325,18
coffee325,24
coffee325,44
earn326,25
earn326,34
acq327,10
acq327,13
acq327,31
acq327,38
earn328,33
earn328,34
earn328,44
acq329,0
acq329,8
acq329,21
acq329,32
acq329,38
acq329,39
acq329,41
acq329,42
acq329,44
acq329,47
acq330,16
acq330,38
acq330,46
acq330,47
acq331,0
acq331,6
acq331,9
acq331,10
acq331,16
acq331,38
acq331,50
acq332,0
acq332,6
acq332,9
acq332,10
acq332,15
acq332,24
acq332,26
acq332,38
acq332,44
acq332,50
earn333,31
earn333,34
earn334,21
earn334,31
earn334,34
earn334,47
earn335,5
earn335,28
earn336,17
earn336,23
earn336,34
earn337,1
earn337,34
earn337,47
earn338,34
earn339,34
earn339,42
acq340,2
acq340,10
acq340,11
acq340,22
acq340,26
acq340,32
acq340,38
acq340,43
acq340,46
crude341,3
crude341,7
crude341,24
crude341,47
copper342,7
copper342,14
copper342,16
copper342,19
copper342,37
copper342,45
acq343,4
acq343,19
acq343,20
acq343,21
acq343,24
acq343,38
acq343,39
acq343,46
copper344,7
copper344,16
copper344,19
copper344,37
earn345,5
earn345,7
earn345,9
earn345,10
earn345,35
copper346,7
copper346,18
copper346,19
copper346,22
copper346,27
earn347,5
earn347,7
earn347,9
earn347,10
earn347,35
earn348,31
earn348,34
acq349,0
acq349,2
acq349,19
acq349,29
acq349,35
acq349,36
acq349,38
acq349,41
acq349,47
acq349,49
earn350,5
money-supply351,7
money-supply351,14
money-supply351,22
money-supply351,50
heat352,20
heat352,22
heat352,27
heat352,37
heat352,38
heat352,44
crude353,6
crude353,16
crude353,36
crude353,37
crude353,39
acq354,1
acq354,2
acq354,11
acq354,13
acq354,17
acq354,21
acq354,24
acq354,29
acq354,39
acq354,40
acq354,43
acq354,44
acq354,47
earn355,9
earn355,23
earn355,31
earn355,34
earn355,37
earn355,47
money-supply356,7
money-supply356,33
money-supply356,50
acq357,1
acq357,2
acq357,9
acq357,14
acq357,15
acq357,23
acq357,29
acq357,38
coffee358,18
coffee358,24
coffee358,26
coffee358,36
acq359,9
acq359,11
acq359,17
acq359,29
acq359,37
acq359,38
acq359,39
acq359,49
earn360,34
earn361,17
earn361,34
earn361,41
acq362,5
acq362,7
acq362,9
acq362,11
acq362,15
acq362,23
acq362,45
acq363,9
acq363,10
acq363,15
acq363,38
acq363,39
acq363,42
acq363,47
acq363,48
acq364,6
acq364,8
acq364,25
acq364,28
acq364,29
acq364,45
earn365,3
earn365,22
earn365,25
earn365,29
earn365,34
earn365,35
earn365,38
earn365,41
earn365,47
earn365,48
acq366,2
acq366,6
acq366,11
acq366,13
acq366,15
acq366,16
acq366,19
acq366,26
acq366,29
acq366,38
acq366,39
acq366,51
ship367,1
ship367,6
ship367,7
ship367,13
ship367,16
ship367,24
ship367,27
ship367,36
ship367,40
earn368,28
earn368,31
earn368,34
earn368,38
earn369,31
earn369,34
earn369,41
earn369,48
earn370,5
earn370,7
earn370,9
earn370,29
earn370,39
earn370,47
earn370,50
earn371,5
earn371,12
earn371,40
jobs372,5
jobs372,7
jobs372,22
jobs372,34
jobs372,45
jobs372,49
jobs372,50
earn373,1
earn373,24
earn373,28
earn373,33
earn373,34
earn373,35
earn373,36
earn373,38
earn373,48
earn373,49
lei374,7
lei374,9
lei374,26
lei374,33
lei374,45
lei374,50
lei374,51
crude375,22
crude375,24
crude375,25
crude375,26
crude375,37
crude375,41
coffee376,15
coffee376,18
coffee376,20
coffee376,22
coffee376,24
coffee376,35
coffee376,44
coffee376,50
earn377,34
bop378,7
bop378,41
bop378,48
bop378,50
acq379,2
acq379,3
acq379,14
acq379,15
acq379,19
acq379,24
acq379,29
acq379,38
acq379,41
acq379,51
earn380,14
earn380,33
earn380,34
earn380,48
rubber381,16
rubber381,20
rubber381,26
rubber381,30
rubber381,33
rubber381,39
earn382,34
earn383,3
earn383,14
earn383,19
earn383,32
earn383,33
earn383,34
earn383,48
jobs384,2
jobs384,6
jobs384,7
jobs384,14
jobs384,22
jobs384,24
jobs384,32
jobs384,35
jobs384,45
jobs384,49
bop385,7
bop385,45
bop385,48
trade386,11
trade386,12
trade386,16
trade386,22
trade386,24
trade386,26
trade386,35
trade386,44
trade386,45
jobs387,7
jobs387,30
reserves388,1
reserves388,2
reserves388,9
reserves388,17
reserves388,22
reserves388,24
reserves388,26
reserves388,45
reserves388,48
reserves388,50
bop389,7
bop389,42
bop389,48
bop389,50
earn390,9
earn390,32
earn390,34
earn390,45
earn390,51
interest391,5
interest391,28
interest391,30
interest391,50
interest392,5
interest392,18
